
@figotwittando;2019-11-20 14:18;8;36;"A CVC (#CVCB3) perdeu, em uma semana, R$1,89 bilhão em valor de mercado. É quase tudo o que vale a Marisa (#AMAR3). Veja análises sobre o "efeito Avianca" no balanço da empresa e as perspectivas para os próximos trimestres";;;#CVCB3 #AMAR3;"1197157200634011648";https://twitter.com/figotwittando/status/1197157200634011648
@sergiosanita;2019-11-19 17:12;2;90;"Pois é... a faca continua caindo! Não tente acertar onde é o chão. Espero o gráfico lhe dizer. #CVCB3 https://twitter.com/sergiosanita/status/1194254748184121344";;;#CVCB3;"1196838562139910144";https://twitter.com/sergiosanita/status/1196838562139910144
@CaroInseto;2019-11-18 20:36;8;278;"Fiz um teste em um franqueado da cvcb3: - Agentes 100% mulheres - Todas jovens (abaixo de 30) - Olham + para o computador q para o cliente (afinal, operam um site para vc) Fui atendido por uma turismóloga q parecia dominar o site, mas sequer conhecia Buenos Aires. A bala é boa.";;;;"1196527647049818112";https://twitter.com/CaroInseto/status/1196527647049818112
@sergiosanita;2019-11-12 14:04;8;155;"Quem pega faca caindo pode se machucar.. #CVCB3 -21% em 3 pregões! ";;;#CVCB3;"1194254748184121344";https://twitter.com/sergiosanita/status/1194254748184121344
@tradersclubbr;2019-11-11 16:05;0;14;"$CVCB3: A ‘bad trip’ da CVC (Brazil Journal) ";;;;"1193922590194180097";https://twitter.com/tradersclubbr/status/1193922590194180097
@bitencourtbas;2019-11-08 20:17;3;67;"Vou sair pra tomar um sorvete e esfriar a cabeça! Se encontrar Lula Livre ou Bolsominion na minha frente, vai ser pau na moleira. Mantenham distância, por favor. Tava com tanta raiva que comprei um pouco de #CVCB3 nos 45,60 pra v se passa. ";;;#CVCB3;"1192898898391687168";https://twitter.com/bitencourtbas/status/1192898898391687168
@BruceBarbosa88;2019-11-08 13:54;3;57;"#CVC #CVCB3 já não é mais aquela... CFO saiu por "motivos pessoais" e o resultado já não é mais uma Brastemp... A 15x Ebitda e 28x lucros está ficando cara.... bem cara... ";;;#CVC #CVCB3;"1192802516699942915";https://twitter.com/BruceBarbosa88/status/1192802516699942915
@guibrstock;2019-08-12 22:03;20;125;"Exposição à Argentina, % da Receita e % do Ebitda, respectivamente. Atenção para ABEV3, BBAS3, CSAN3, CVCB3, BEEF3, LEVE3, POMO4, RAPT4... ";;;;"1161035482731560962";https://twitter.com/guibrstock/status/1161035482731560962
@Victor_Benndorf;2019-08-09 13:18;0;2;"Benndorf Research - Call matinal 09/08/19 - #CVCB3 chart ";;;#CVCB3;"1159816258293911554";https://twitter.com/Victor_Benndorf/status/1159816258293911554
@alphainvestidor;2019-08-04 19:30;9;54;"Ranking IBOV 2019 Melhor retorno: JBSS3 +125% CSNA3 +97 VVAR3 +87% SBSP3 +82% Pior retorno: BRKM5 -25% UGPA3 -23% SUZB3 -19% CVCB3 -14% Receba toda semana: http://bit.ly/2CKZobM";;;;"1158098018454966272";https://twitter.com/alphainvestidor/status/1158098018454966272
@BruceBarbosa88;2019-07-16 01:14;43;618;"Hahahahahahah!!! Disruptiva!! #CVC #CVCB3 ";;;#CVC #CVCB3;"1150936786702602241";https://twitter.com/BruceBarbosa88/status/1150936786702602241
@IVANKRAISER;2019-07-04 15:56;1;99;"CURIOSIDADE:desde o IPO, hoje é a terceira vez que CVCB3 completa 8 dias consecutivos de queda. Nunca antes, caiu por 9 dias consecutivos.";;;;"1146809972904382464";https://twitter.com/IVANKRAISER/status/1146809972904382464
@BruceBarbosa88;2019-05-17 13:30;1;130;"Olha só o que estão fazendo com #CVC #CVCB3 Acho que ainda não vale entrar mas está chegando perto... ";;;#CVC #CVCB3;"1129378704948441088";https://twitter.com/BruceBarbosa88/status/1129378704948441088
@datonetto;2019-05-13 20:03;0;88;"CVCB3, MDIA3, BEEF3, GOLL4, SBSP3, BRKM5, SUZB3 e CSMG3. R$1 bi movimentado e TODAS caindo mais de 6%! ";;;;"1128027887930609667";https://twitter.com/datonetto/status/1128027887930609667
@alphainvestidor;2019-03-23 14:36;4;21;"#corridadoscavalosIBOV Semana Resultado bom foi perder pouco! Melhor performance: CSAN3: 2% CVCB3: -0,2% VIVT4: -0,5% ABEV3: -0,8% Pior performance: LAME4: -13% CCRO3: -12% BBAS3: -12% UGPA3: -11% Receba todos os gráficos: https://forms.gle/YeoqnEE7ZcJwYAAr5";;;#corridadoscavalosIBOV;"1109463987404587012";https://twitter.com/alphainvestidor/status/1109463987404587012
