
@jlbraga;2019-12-01 23:23;7;278;"É que a #VVAR3 ainda é pequena por lá! ";;;#VVAR3;"1201280743542067201";https://twitter.com/jlbraga/status/1201280743542067201
@bitencourtbas;2019-12-01 22:04;11;89;"Black Friday - Voa Vara #VVAR3 ";;;#VVAR3;"1201260882078121989";https://twitter.com/bitencourtbas/status/1201260882078121989
@musashinvest;2019-12-01 16:25;0;1;"4. Vvar3/Lame4/Btow3/Mglu3 Ev/Sales 0,6x / 2,4x / 4,6x / 4,0x Ev/Ebitda20 5,5x / 10x / 35x / 40x Ahh, e a Black Friday parece q deu bom.. ";;;;"1201175454159450112";https://twitter.com/musashinvest/status/1201175454159450112
@yubb_invest;2019-11-29 23:25;0;3;"Fechamento de Mercado (29/11/2019) Maiores Altas do Ibovespa: WEG S.A. (WEGE3) +3.36% Via Varejo (VVAR3) +2.56% BTG Pactual (BPAC11) +2.55% Rumo (RAIL3) +2.17% B2W (BTOW3) +2.14% #Ibovespa: 108.233,28 (-0,052%)";;;#Ibovespa;"1200556446208970752";https://twitter.com/yubb_invest/status/1200556446208970752
@brunobalencar;2019-11-29 18:17;1;14;"Long vvar3 short em lame4? ";;;;"1200478935466889217";https://twitter.com/brunobalencar/status/1200478935466889217
@j_camargo_nyc;2019-11-28 22:09;7;244;"Quem comprou #VVAR3 no meio do desespero já consegue colocar 22% no Bolso! ";;;#VVAR3;"1200174958799966209";https://twitter.com/j_camargo_nyc/status/1200174958799966209
@israel_massa;2019-11-28 21:26;10;163;"$VVAR3 - Maior fechamento do ano R$8,59 - R$408milhões de volume. ";;;;"1200164118549938177";https://twitter.com/israel_massa/status/1200164118549938177
@fsresende;2019-11-27 20:12;0;3;"VVAR3 8.64 coming soon ";;;;"1199782964147707905";https://twitter.com/fsresende/status/1199782964147707905
@hartleo;2019-11-27 19:04;0;0;"VVAR3 : Break Out BOX with vol &gt; VMA(20) at price: 8.240";;;;"1199765852805042176";https://twitter.com/hartleo/status/1199765852805042176
@jlbraga;2019-11-14 20:04;5;212;"Eu não posso falar mas eu posso ouvir. O que vocês acharam do resultado de $VVAR3? E do conference call? O que surpreendeu positivamente? E negativamente? Muito obrigado.";;;;"1195070075453263873";https://twitter.com/jlbraga/status/1195070075453263873
@ClaudioPReis;2019-11-14 19:18;0;2;"Hahahahah #vvar3";;;#vvar3;"1195058486616449025";https://twitter.com/ClaudioPReis/status/1195058486616449025
@rbreia;2019-11-14 17:03;11;352;"Perguntas "devo comprar mais #VVAR3 " na minha caixa de email: R$4,90 = R$4,00 = R$4,90 = R$5,90 = R$7,30 = R$8,50 = R$7, 20 = ¯\_(ツ)_/¯";;;#VVAR3;"1195024442457513986";https://twitter.com/rbreia/status/1195024442457513986
@stockpickers_;2019-11-14 13:16;10;185;"Preço importa?, "Vol” é vida?, Mercados são eficientes?, CDI: benchmark justo pra long bias, VVAR3 ou MGLU3?, BIDI é bolha?, IBOV ou CDI?, etc! É HOJE! Ep #29 ";;;;"1194967425621602305";https://twitter.com/stockpickers_/status/1194967425621602305
@papaoption;2019-11-14 11:05;0;0;"vou shortear VVAR3. serie X.";;;;"1194934462339014656";https://twitter.com/papaoption/status/1194934462339014656
@cauematte1;2019-11-14 09:41;0;1;"VVAR3: blood on the streets (buy)";;;;"1194913285163880449";https://twitter.com/cauematte1/status/1194913285163880449
@FelipePontesPB;2019-11-13 23:49;14;453;"Se eu fosse sell-side cobrindo Via Varejo, o título do meu relatório desse trimestre seria: "O que é um peido para quem já está todo cagado?" #FicaADica Vai ser com emoção! #VVAR3";;;#FicaADica #VVAR3;"1194764375623700480";https://twitter.com/FelipePontesPB/status/1194764375623700480
@FelipePontesPB;2019-11-13 16:53;6;182;"Baixar ativos que não serão recuperáveis é uma coisa, denúncia de manipulação de resultados contábeis é outra coisa completamente diferente. Por enquanto, não temos informações suficientes para saber exatamente o que está havendo. #VVAR3";;;#VVAR3;"1194659527595102209";https://twitter.com/FelipePontesPB/status/1194659527595102209
@BrazilianReport;2019-11-13 16:35;1;4;"Via Varejo shares (VVAR3) are crashing 9.17% at the SP stock market after a reported investigation into fraudulent balances. A month ago, Via Varejo's compliance division received an anonymous tip on illegal practices. It reportedly found no proof of crime so far #BrazilianReport";;;#BrazilianReport;"1194654925655072768";https://twitter.com/BrazilianReport/status/1194654925655072768
