username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
@jairbolsonaro;2019-02-06 19:44;3812;30270;"Fomentar o pequeno comércio é um dos meios de se valorizar e expandir culturas regionais, com geração de empregos e crescimento econômico local! https://twitter.com/tvbrasilgov/status/1093086902071320577 …";;;;"1093233977022971904";https://twitter.com/jairbolsonaro/status/1093233977022971904
@IvanValente;2019-02-07 17:30;90;234;"Prometeram que com a Reforma Trabalhista o desemprego cairia fortemente, o que não aconteceu. Agora Paulo Guedes faz chantagem com a carteira verde-amarela, sem direitos. Não é esfolar trabalhador que cria empregos e sim o crescimento econômico. Sobre isso, até agora, nada.";;;;"1093562676809289729";https://twitter.com/IvanValente/status/1093562676809289729
@tradersclubbr;2019-02-06 21:16;20;107;"$PETR4: BRADESCO BBI ASSUME QUE PETROBRAS RECEBERÁ US$8 BI PELA CESSÃO; MANTÉM OUTPERFORM E ALVO DE R$37";;;;"1093257146274381836";https://twitter.com/tradersclubbr/status/1093257146274381836
@Smobrj;2019-02-06 19:48;0;64;"Crescimento econômico, aqui vamos nós!";;;;"1093235121489100803";https://twitter.com/Smobrj/status/1093235121489100803
@ThiagoNigro;2019-02-07 16:11;1;45;"É um caso impossível, e nós sabemos como MGLU3 e bitcoin performaram bem nos últimos anos. Mas fica pra reflexão: quando alguém pede pela sua opinião, você dá dica quente ou dá conhecimento? Se o seu caso for o primeiro, tá na hora de rever isso.";;;;"1093542863886053376";https://twitter.com/ThiagoNigro/status/1093542863886053376
@mdenser;2019-02-07 15:43;7;41;"governo bolsonaro e guedes vão destruir a economia brasileira em poucos meses, se totalmente implementados!";;;;"1093535612848799744";https://twitter.com/mdenser/status/1093535612848799744
@ASeminotti;2019-02-07 20:24;3;40;"Isso aí Xico! A maioria dos brasileiros não tem ideia da importância do agrobusiness pra economia brasileira!";;;;"1093606365866741766";https://twitter.com/ASeminotti/status/1093606365866741766
@erikakokay;2019-02-06 12:19;9;39;"Acabar com a aposentadoria não vai gerar crescimento econômico. Crescimento econômico se gera com investimento público, com Estado indutor do desenvolvimento. Para País voltar a crescer e gerar empregos precisamos revogar a EC 95, mas o governo Bolsonaro é marionete do mercado";;;;"1093122091862380545";https://twitter.com/erikakokay/status/1093122091862380545
@SenadorHeinze;2019-02-07 16:26;3;36;"Um dos focos neste ano é resolver a questão da dívida dos Estados. O trabalho será intenso e de integração entre os entes federados que estão impedidos de crescer. É preciso renegociar com a União e garantir o crescimento econômico dos estados.";;;;"1093546559256571904";https://twitter.com/SenadorHeinze/status/1093546559256571904
@ThiagoNigro;2019-02-07 16:11;1;30;"Imagine a situação. Você fala pro seu “eu” de 10 anos atrás pra comprar MGLU3. Ele não tem a mínima ideia do que é investir a longo prazo, não tem ideia de como olhar fundamentos, e nem ao menos sabe que ele não deve vender por medo ou ganância. Quais as chances de dar certo?";;;;"1093542751646420992";https://twitter.com/ThiagoNigro/status/1093542751646420992
@wdiaspi;2019-02-06 15:12;3;26;"O Encontro dos Governadores do Nordeste já é um fórum permanente, onde debatemos pautas importantes para a região e para o país. Estamos unidos com objetivos em comum: melhorar a vida do nosso povo e promover crescimento econômico. Juntos, pelo Nordeste e pelo Brasil! pic.twitter.com/KeGwEWHLy7";;;;"1093165650854461440";https://twitter.com/wdiaspi/status/1093165650854461440
