username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
@jandira_feghali;2019-03-11 18:13;1423;4971;"A China deixou de comprar soja brasileira e o volume de negócios caiu para o MENOR patamar em 4 anos. A gente se perguntava qual era o projeto de país de Bolsonaro e a resposta está aí. É não ter projeto, perseguir minorias, espalhar fake news e destruir a economia nacional.";;;;"1105169797808095232";https://twitter.com/jandira_feghali/status/1105169797808095232
@Savagefiction;2019-03-12 22:31;123;894;"Curiosamente, imigrantes como Italianos, Alemães e Portugueses puderam constituir colônias que (em alguns lugares) mantém protecionismo e praticamente funcionam com economia e cultura independente à sociedade brasileira. A soberania só é ameaçada pela cultura preta ou indígena";;;;"1105597281817018368";https://twitter.com/Savagefiction/status/1105597281817018368
@BancoCentralBR;2019-03-11 11:27;51;187;"Destaques do Focus de 8/3/2019: confira as previsões do mercado para a economia brasileira. Relatório completo: https://goo.gl/2WrUQy pic.twitter.com/uOWmvLFycP";;;;"1105067792666189824";https://twitter.com/BancoCentralBR/status/1105067792666189824
@MarcioPochmann;2019-03-11 13:28;47;140;"Pelo ultraliberalismo de Bolsonaro, a economia brasileira não precisa voltar a crescer para resolver o caótico quadro financeiro dos Estados e municípios, mas simplesmente desvincular totalmente o orçamento para cortar mais despesas obrigatórias com educação, saúde e outras.";;;;"1105098091122880512";https://twitter.com/MarcioPochmann/status/1105098091122880512
@Felippe_Hermes;2019-03-12 16:01;7;125;"Mas n me agrada a ideia de divulgar estimativas de empregos gerados. Isso é consequência, não objetivo, portanto n deve ser posto agora. O objetivo é equilíbrio fiscal e previsibilidade dos agentes. A consequência é crescimento econômico e emprego.";;;;"1105498941527859200";https://twitter.com/Felippe_Hermes/status/1105498941527859200
@tradersclubbr;2019-03-12 19:50;8;66;"$PETR4: Castello Branco quer transformar Petrobras em produtor de baixo custo (Valor) https://www.valor.com.br/empresas/6156849/castello-branco-quer-transformar-petrobras-em-produtor-de-baixo-custo …";;;;"1105556643062992896";https://twitter.com/tradersclubbr/status/1105556643062992896
@PocketBrasil19;2019-03-12 19:46;7;46;"Estou lendo uma apostila sobre Empreendedorismo onde até então é falado do capitalismo e como o empreendedorismo é fundamental para o crescimento econômico de uma nação. Leia novamente (FUNDAMENTAL PARA O CRESCIMENTO ECONÔMICO DE UMA NAÇÃO) não serve pra vcs esquerdista.";;;;"1105555753090326530";https://twitter.com/PocketBrasil19/status/1105555753090326530
@surra;2019-03-12 03:31;15;39;"Anos de politica monetária expansionista inflaram os preços dos ativos nos EUA sem a renda conseguir acompanhar. Resultado: crescimento economico com aumento sensível da desigualdade; jovens desiludidos com o capitalismo e mais simpáticos do que nunca às ideias "socialistas". https://twitter.com/zerohedge/status/1105281005781504000 …";;;;"1105310373341814784";https://twitter.com/surra/status/1105310373341814784
@CapivaraTrader;2019-03-12 13:53;2;32;"Êta Saudade de uma correria Raiz em PETR4. Daquelas de deixar vendidos de língua de fora... "Tipo assim", ultima semana de negociações da série vigente, rompimento de resistência...ô Saudades!";;;;"1105466734562152449";https://twitter.com/CapivaraTrader/status/1105466734562152449
@Globo_Rural;2019-03-12 15:13;4;27;"As exportações brasileiras de carne de frango alcançaram 316,9 mil toneladas em fevereiro https://revistagloborural.globo.com/Noticias/Criacao/Aves/noticia/2019/03/globo-rural-exportacoes-de-frango-crescem-22-e-alcancam-3169-mil-t-em-fevereiro-diz-abpa.html …";;;;"1105486924117098497";https://twitter.com/Globo_Rural/status/1105486924117098497
@infomoney;2019-03-11 16:24;8;19;"Hoje, o patamar de produtividade da economia brasileira por hora trabalhada está no nível de 2012. http://bit.ly/2ERzsvi";;;;"1105142543732391936";https://twitter.com/infomoney/status/1105142543732391936
@exame;2019-03-12 09:44;2;18;"FGV prevê crescimento econômico de 2,1% em 2019 https://wp.me/p7K2Bq-dTMd";;;;"1105404207237136384";https://twitter.com/exame/status/1105404207237136384
@valoreconomico;2019-03-11 12:50;4;17;"Mercado projeta crescimento menor da economia brasileira em 2019 https://www.valor.com.br/u/6153707";;;;"1105088613161811968";https://twitter.com/valoreconomico/status/1105088613161811968
@NovoLauropro;2019-03-12 20:21;10;15;""Banco Central chinês detinha títulos do Tesouro dos EUA no valor de 1,12 trilhões de dólares – 28% da dívida pública total dos EUA.O Japão estava no segundo lugar, com 1,03 trilhão (25,7%).O Brasil ocupava o terceiro lugar, com títulos no valor de 303 bilhões de dólares (7,5%)"";;;;"1105564387358711808";https://twitter.com/NovoLauropro/status/1105564387358711808
@AFS_Andrada;2019-03-12 13:01;0;13;"Se um aluno escreve isso numa prova de Economia Brasileira, a nota é zero. O camarada ter a pachorra de apresentar um argumento ridículo desses. Deveria ser demitido por incapacidade cognitiva. pic.twitter.com/I8Gl1kfwgz";;;;"1105453835525459968";https://twitter.com/AFS_Andrada/status/1105453835525459968
@ThyagoCoan1;2019-03-12 23:26;0;13;"Listada, mglu3. Aguardando IPO, Suno Research.";;;;"1105611134881673224";https://twitter.com/ThyagoCoan1/status/1105611134881673224
